assembly_path,binary_bytes,branch_count,candidate,compile_commands,contract,contract_error,correct,delta_cost,effects,executable_path,execution_command,flags,knowledge_id,measured,platform,repeats,role,run_id,runtime_mad_seconds,runtime_max_seconds,runtime_min_seconds,runtime_seconds,selection_role,status,stdout,timestamp_utc,timings_seconds,vector_count,warmups
C:\Users\2025111355\Documents\Codex\2026-07-13\referenced-chatgpt-conversation-this-is-untrusted\work\epas_demo\build\20260713T141328839327Z\O2_baseline.s,57914,17,O2_baseline,"{""assembly"": [""D:\\x86_64-8.1.0-release-posix-seh-rt_v6-rev0\\mingw64\\bin\\gcc.EXE"", ""-std=c11"", ""-O2"", ""-S"", ""C:\\Users\\2025111355\\Documents\\Codex\\2026-07-13\\referenced-chatgpt-conversation-this-is-untrusted\\work\\epas_demo\\bench.c"", ""-o"", ""C:\\Users\\2025111355\\Documents\\Codex\\2026-07-13\\referenced-chatgpt-conversation-this-is-untrusted\\work\\epas_demo\\build\\20260713T141328839327Z\\O2_baseline.s""], ""executable"": [""D:\\x86_64-8.1.0-release-posix-seh-rt_v6-rev0\\mingw64\\bin\\gcc.EXE"", ""-std=c11"", ""-O2"", ""C:\\Users\\2025111355\\Documents\\Codex\\2026-07-13\\referenced-chatgpt-conversation-this-is-untrusted\\work\\epas_demo\\bench.c"", ""-o"", ""C:\\Users\\2025111355\\Documents\\Codex\\2026-07-13\\referenced-chatgpt-conversation-this-is-untrusted\\work\\epas_demo\\build\\20260713T141328839327Z\\O2_baseline.exe""]}",runtime_efficiency,,True,,,C:\Users\2025111355\Documents\Codex\2026-07-13\referenced-chatgpt-conversation-this-is-untrusted\work\epas_demo\build\20260713T141328839327Z\O2_baseline.exe,"[""C:\\Users\\2025111355\\Documents\\Codex\\2026-07-13\\referenced-chatgpt-conversation-this-is-untrusted\\work\\epas_demo\\build\\20260713T141328839327Z\\O2_baseline.exe"", ""branch"", ""200000""]","[""-O2""]",K1,True,x86_local_gcc,2,baseline,20260713T141328839327Z,0.002215,0.0205566,0.0161266,0.0183416,,measured,"3073730
",2026-07-13T14:13:31.993464+00:00,"[0.0161266, 0.0205566]",0,1
C:\Users\2025111355\Documents\Codex\2026-07-13\referenced-chatgpt-conversation-this-is-untrusted\work\epas_demo\build\20260713T141328839327Z\O3_generic.s,57914,26,O3_generic,"{""assembly"": [""D:\\x86_64-8.1.0-release-posix-seh-rt_v6-rev0\\mingw64\\bin\\gcc.EXE"", ""-std=c11"", ""-O3"", ""-S"", ""C:\\Users\\2025111355\\Documents\\Codex\\2026-07-13\\referenced-chatgpt-conversation-this-is-untrusted\\work\\epas_demo\\bench.c"", ""-o"", ""C:\\Users\\2025111355\\Documents\\Codex\\2026-07-13\\referenced-chatgpt-conversation-this-is-untrusted\\work\\epas_demo\\build\\20260713T141328839327Z\\O3_generic.s""], ""executable"": [""D:\\x86_64-8.1.0-release-posix-seh-rt_v6-rev0\\mingw64\\bin\\gcc.EXE"", ""-std=c11"", ""-O3"", ""C:\\Users\\2025111355\\Documents\\Codex\\2026-07-13\\referenced-chatgpt-conversation-this-is-untrusted\\work\\epas_demo\\bench.c"", ""-o"", ""C:\\Users\\2025111355\\Documents\\Codex\\2026-07-13\\referenced-chatgpt-conversation-this-is-untrusted\\work\\epas_demo\\build\\20260713T141328839327Z\\O3_generic.exe""]}",runtime_efficiency,0.02941176470588236,True,1.0,"{""branch_reduction"": -0.5294117647058824, ""runtime_gain"": 0.0965891743359357, ""size_reduction"": 0.0, ""vector_increase"": 36.0}",C:\Users\2025111355\Documents\Codex\2026-07-13\referenced-chatgpt-conversation-this-is-untrusted\work\epas_demo\build\20260713T141328839327Z\O3_generic.exe,"[""C:\\Users\\2025111355\\Documents\\Codex\\2026-07-13\\referenced-chatgpt-conversation-this-is-untrusted\\work\\epas_demo\\build\\20260713T141328839327Z\\O3_generic.exe"", ""branch"", ""200000""]","[""-O3""]",K1,True,x86_local_gcc,2,,20260713T141328839327Z,0.0011833999999999994,0.0177534,0.0153866,0.01657,not_selected,measured,"3073730
",2026-07-13T14:13:31.993464+00:00,"[0.0153866, 0.0177534]",36,1
C:\Users\2025111355\Documents\Codex\2026-07-13\referenced-chatgpt-conversation-this-is-untrusted\work\epas_demo\build\20260713T141328839327Z\Os_generic.s,57576,14,Os_generic,"{""assembly"": [""D:\\x86_64-8.1.0-release-posix-seh-rt_v6-rev0\\mingw64\\bin\\gcc.EXE"", ""-std=c11"", ""-Os"", ""-S"", ""C:\\Users\\2025111355\\Documents\\Codex\\2026-07-13\\referenced-chatgpt-conversation-this-is-untrusted\\work\\epas_demo\\bench.c"", ""-o"", ""C:\\Users\\2025111355\\Documents\\Codex\\2026-07-13\\referenced-chatgpt-conversation-this-is-untrusted\\work\\epas_demo\\build\\20260713T141328839327Z\\Os_generic.s""], ""executable"": [""D:\\x86_64-8.1.0-release-posix-seh-rt_v6-rev0\\mingw64\\bin\\gcc.EXE"", ""-std=c11"", ""-Os"", ""C:\\Users\\2025111355\\Documents\\Codex\\2026-07-13\\referenced-chatgpt-conversation-this-is-untrusted\\work\\epas_demo\\bench.c"", ""-o"", ""C:\\Users\\2025111355\\Documents\\Codex\\2026-07-13\\referenced-chatgpt-conversation-this-is-untrusted\\work\\epas_demo\\build\\20260713T141328839327Z\\Os_generic.exe""]}",runtime_efficiency,0.0,True,1.0,"{""branch_reduction"": 0.17647058823529413, ""runtime_gain"": 0.12445479129410732, ""size_reduction"": 0.0058362399419829404, ""vector_increase"": 0.0}",C:\Users\2025111355\Documents\Codex\2026-07-13\referenced-chatgpt-conversation-this-is-untrusted\work\epas_demo\build\20260713T141328839327Z\Os_generic.exe,"[""C:\\Users\\2025111355\\Documents\\Codex\\2026-07-13\\referenced-chatgpt-conversation-this-is-untrusted\\work\\epas_demo\\build\\20260713T141328839327Z\\Os_generic.exe"", ""branch"", ""200000""]","[""-Os""]",K1,True,x86_local_gcc,2,,20260713T141328839327Z,0.00022170000000000002,0.0162806,0.0158372,0.0160589,not_selected,measured,"3073730
",2026-07-13T14:13:31.993464+00:00,"[0.0162806, 0.0158372]",0,1
C:\Users\2025111355\Documents\Codex\2026-07-13\referenced-chatgpt-conversation-this-is-untrusted\work\epas_demo\build\20260713T141328839327Z\O3_unroll.s,59450,48,O3_unroll,"{""assembly"": [""D:\\x86_64-8.1.0-release-posix-seh-rt_v6-rev0\\mingw64\\bin\\gcc.EXE"", ""-std=c11"", ""-O3"", ""-funroll-loops"", ""-S"", ""C:\\Users\\2025111355\\Documents\\Codex\\2026-07-13\\referenced-chatgpt-conversation-this-is-untrusted\\work\\epas_demo\\bench.c"", ""-o"", ""C:\\Users\\2025111355\\Documents\\Codex\\2026-07-13\\referenced-chatgpt-conversation-this-is-untrusted\\work\\epas_demo\\build\\20260713T141328839327Z\\O3_unroll.s""], ""executable"": [""D:\\x86_64-8.1.0-release-posix-seh-rt_v6-rev0\\mingw64\\bin\\gcc.EXE"", ""-std=c11"", ""-O3"", ""-funroll-loops"", ""C:\\Users\\2025111355\\Documents\\Codex\\2026-07-13\\referenced-chatgpt-conversation-this-is-untrusted\\work\\epas_demo\\bench.c"", ""-o"", ""C:\\Users\\2025111355\\Documents\\Codex\\2026-07-13\\referenced-chatgpt-conversation-this-is-untrusted\\work\\epas_demo\\build\\20260713T141328839327Z\\O3_unroll.exe""]}",runtime_efficiency,1.3235294117647058,True,1.0,"{""branch_reduction"": -1.8235294117647058, ""runtime_gain"": 0.1663159157325424, ""size_reduction"": -0.02652208447007632, ""vector_increase"": 278.0}",C:\Users\2025111355\Documents\Codex\2026-07-13\referenced-chatgpt-conversation-this-is-untrusted\work\epas_demo\build\20260713T141328839327Z\O3_unroll.exe,"[""C:\\Users\\2025111355\\Documents\\Codex\\2026-07-13\\referenced-chatgpt-conversation-this-is-untrusted\\work\\epas_demo\\build\\20260713T141328839327Z\\O3_unroll.exe"", ""branch"", ""200000""]","[""-O3"", ""-funroll-loops""]",K1,True,x86_local_gcc,2,,20260713T141328839327Z,0.00013909999999999964,0.0154302,0.015152,0.0152911,not_selected,measured,"3073730
",2026-07-13T14:13:31.993464+00:00,"[0.0154302, 0.015152]",278,1
C:\Users\2025111355\Documents\Codex\2026-07-13\referenced-chatgpt-conversation-this-is-untrusted\work\epas_demo\build\20260713T141328839327Z\O3_no_vector.s,57914,17,O3_no_vector,"{""assembly"": [""D:\\x86_64-8.1.0-release-posix-seh-rt_v6-rev0\\mingw64\\bin\\gcc.EXE"", ""-std=c11"", ""-O3"", ""-fno-tree-vectorize"", ""-S"", ""C:\\Users\\2025111355\\Documents\\Codex\\2026-07-13\\referenced-chatgpt-conversation-this-is-untrusted\\work\\epas_demo\\bench.c"", ""-o"", ""C:\\Users\\2025111355\\Documents\\Codex\\2026-07-13\\referenced-chatgpt-conversation-this-is-untrusted\\work\\epas_demo\\build\\20260713T141328839327Z\\O3_no_vector.s""], ""executable"": [""D:\\x86_64-8.1.0-release-posix-seh-rt_v6-rev0\\mingw64\\bin\\gcc.EXE"", ""-std=c11"", ""-O3"", ""-fno-tree-vectorize"", ""C:\\Users\\2025111355\\Documents\\Codex\\2026-07-13\\referenced-chatgpt-conversation-this-is-untrusted\\work\\epas_demo\\bench.c"", ""-o"", ""C:\\Users\\2025111355\\Documents\\Codex\\2026-07-13\\referenced-chatgpt-conversation-this-is-untrusted\\work\\epas_demo\\build\\20260713T141328839327Z\\O3_no_vector.exe""]}",runtime_efficiency,0.0,True,1.0,"{""branch_reduction"": 0.0, ""runtime_gain"": 0.1531436733981768, ""size_reduction"": 0.0, ""vector_increase"": 0.0}",C:\Users\2025111355\Documents\Codex\2026-07-13\referenced-chatgpt-conversation-this-is-untrusted\work\epas_demo\build\20260713T141328839327Z\O3_no_vector.exe,"[""C:\\Users\\2025111355\\Documents\\Codex\\2026-07-13\\referenced-chatgpt-conversation-this-is-untrusted\\work\\epas_demo\\build\\20260713T141328839327Z\\O3_no_vector.exe"", ""branch"", ""200000""]","[""-O3"", ""-fno-tree-vectorize""]",K1,True,x86_local_gcc,2,,20260713T141328839327Z,0.0010098000000000008,0.0165425,0.0145229,0.0155327,selected,measured,"3073730
",2026-07-13T14:13:31.993464+00:00,"[0.0145229, 0.0165425]",0,1
C:\Users\2025111355\Documents\Codex\2026-07-13\referenced-chatgpt-conversation-this-is-untrusted\work\epas_demo\build\20260713T141328839327Z\O3_native.s,57914,34,O3_native,"{""assembly"": [""D:\\x86_64-8.1.0-release-posix-seh-rt_v6-rev0\\mingw64\\bin\\gcc.EXE"", ""-std=c11"", ""-O3"", ""-march=native"", ""-S"", ""C:\\Users\\2025111355\\Documents\\Codex\\2026-07-13\\referenced-chatgpt-conversation-this-is-untrusted\\work\\epas_demo\\bench.c"", ""-o"", ""C:\\Users\\2025111355\\Documents\\Codex\\2026-07-13\\referenced-chatgpt-conversation-this-is-untrusted\\work\\epas_demo\\build\\20260713T141328839327Z\\O3_native.s""], ""executable"": [""D:\\x86_64-8.1.0-release-posix-seh-rt_v6-rev0\\mingw64\\bin\\gcc.EXE"", ""-std=c11"", ""-O3"", ""-march=native"", ""C:\\Users\\2025111355\\Documents\\Codex\\2026-07-13\\referenced-chatgpt-conversation-this-is-untrusted\\work\\epas_demo\\bench.c"", ""-o"", ""C:\\Users\\2025111355\\Documents\\Codex\\2026-07-13\\referenced-chatgpt-conversation-this-is-untrusted\\work\\epas_demo\\build\\20260713T141328839327Z\\O3_native.exe""]}",runtime_efficiency,0.5,True,2.0,"{""branch_reduction"": -1.0, ""runtime_gain"": 0.13156976490600605, ""size_reduction"": 0.0, ""vector_increase"": 43.0}",C:\Users\2025111355\Documents\Codex\2026-07-13\referenced-chatgpt-conversation-this-is-untrusted\work\epas_demo\build\20260713T141328839327Z\O3_native.exe,"[""C:\\Users\\2025111355\\Documents\\Codex\\2026-07-13\\referenced-chatgpt-conversation-this-is-untrusted\\work\\epas_demo\\build\\20260713T141328839327Z\\O3_native.exe"", ""branch"", ""200000""]","[""-O3"", ""-march=native""]",K1,True,x86_local_gcc,2,,20260713T141328839327Z,0.00036149999999999984,0.0162899,0.0155669,0.0159284,not_selected,measured,"3073730
",2026-07-13T14:13:31.993464+00:00,"[0.0162899, 0.0155669]",43,1
